question_no,no_cache_cost_usd,cache_cost_usd,no_cache_cost_cumulative,cache_cost_cumulative_incl_prewarm,no_cache_latency_ms,cache_latency_ms
1,0.3162,0.0357,0.3162,0.4254,10150,8681
2,0.3169,0.0358,0.6331,0.4613,11812,9775
3,0.3157,0.0353,0.9488,0.4965,9005,9594
4,0.3165,0.0360,1.2653,0.5325,9356,10009
5,0.3164,0.0361,1.5816,0.5687,9937,10553
6,0.3139,0.0339,1.8956,0.6025,5331,6079
7,0.3165,0.0361,2.2121,0.6387,9515,9668
8,0.3157,0.0346,2.5278,0.6733,8382,7162
9,0.3165,0.0353,2.8444,0.7087,9581,8834
10,0.3144,0.0341,3.1588,0.7427,5600,4137
